ACCESSION,CALL NO.,AUTHOR,TITLE,PAGES,YEAR
TH19-00378,THESIS TH 378 B75 2019,"Brisenio, Kimberly.","Online ordering system for Crosspoint Paper, Inc.",170 pages,2019
TH19-00379,THESIS TH 379 A43 2019,"Aldave, Jason Jake A.","Music camp : an android application for guitar rhythm, chords and fundamentals",207 pages,2019
TH19-00380,THESIS TH 380 B36 2019,"Banzon, Olive D.",Web based apartment leasing and invoice system with SMS notification for Just Beds,169 pages,2019
TH19-00381,THESIS TH 381 F38 2019,"Fauvel, Aljanine S.",TCC materials monitoring with requesting using android application and SMS notification,157 pages,2019
TH19-00382,THESIS TH 382 B56 2019,"Binag, Ramon Jr. B.",Android task time tracker with performance evaluation for Sunday Elephant Creatives Inc.,161 pages,2019
TH19-00383,THESIS TH 383 B35 2019,"Balidio, Yves Earl J.",Online event scheduling system for STI College Global City,213,2019
TH19-00384,THESIS TH 384 D45 2019,"De Leon, Francis S.M.",Student health information system for Pateros Catholic School,239,2019
TH19-00385,THESIS TH 385 A48 2019,"Alto, Eugine T.",MCU-based egg tray molding machine utilizing used paper,v.p.,2019
TH19-00386,THESIS TH 386 C36 2019,"Cambel, Christopher Louie F.",MCU-Based HDPE plastic molding machine,v.p.,2019
TH19-00387,THESIS TH 387 A48 2019,"Alvis, Maria Crissele R.",MCU-Based pancake vending machine,v.p.,2019
TH19-00388,THESIS TH 388 A73 2019,"Arante, Christian F.",MCU-Based chalk producing machine utilizing eggshells as input,v.p.,2019
TH19-00389,THESIS TH 389 A28 2019,"Abuid, Sarah Mae U.",Commercial of-the-shelf: online enrollment system for high school,v.p.,2019
